Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
06/02/2017;0,31;0,28;25;39;77;17;7
05/02/2017;0,21;0,22;1;10;11;;4
04/02/2017;0,25;0,24;4;27;33;;4
03/02/2017;0,2;0,21;2;12;15;9;3
02/02/2017;0,2;0,18;2;11;13;8;3
01/02/2017;0,24;0,28;6;24;32;11;4
31/01/2017;0,24;0,2;4;24;30;10;4
30/01/2017;0,24;0,26;4;25;31;6;5
29/01/2017;0,22;0,23;1;14;16;5;4
28/01/2017;0,28;0,26;6;34;43;14;6
27/01/2017;0,28;0,28;3;26;30;12;4
26/01/2017;0,26;0,27;4;30;35;17;6
25/01/2017;0,38;0,39;24;47;84;21;7
24/01/2017;0,44;0,45;35;45;98;29;7
23/01/2017;0,38;0,36;34;47;99;25;6
22/01/2017;0,44;0,48;25;42;79;27;10
21/01/2017;0,48;0,46;49;44;118;38;19
20/01/2017;0,45;0,44;59;42;132;34;8
19/01/2017;0,36;0,33;45;41;109;29;4
18/01/2017;0,44;0,43;22;36;69;23;3
17/01/2017;0,19;0,19;3;24;28;6;2
16/01/2017;0,18;0,19;2;13;17;;1
15/01/2017;0,2;0,2;2;11;13;15;3
14/01/2017;0,26;0,25;3;22;27;11;5
13/01/2017;0,19;0,19;3;18;22;21;4
12/01/2017;0,25;0,25;21;29;62;18;6
11/01/2017;0,22;0,21;3;16;20;15;2
10/01/2017;0,22;0,25;6;23;33;16;4
09/01/2017;0,46;0,5;42;51;115;25;10
08/01/2017;0,48;0,47;21;47;78;29;13
07/01/2017;0,42;0,41;33;49;98;30;12
06/01/2017;0,39;0,4;22;38;71;22;8
05/01/2017;0,41;0,4;35;47;100;27;9
04/01/2017;0,43;0,45;61;44;136;42;13
03/01/2017;0,48;0,45;59;46;136;43;11
02/01/2017;0,33;0,33;15;32;53;14;7
01/01/2017;0,27;0,25;10;28;43;22;8
