Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
26/07/2017;;;;;;;;20;;;
25/07/2017;0,26;0,01;1;7;8;60;60;12;5;7;0,17
24/07/2017;0,24;0;1;7;9;47;46;8;5;7;0,11
23/07/2017;0,3;0,05;1;6;8;57;58;21;5;7;0,29
22/07/2017;0,55;0,17;2;10;13;45;42;15;6;9;0,5
21/07/2017;0,3;0,08;2;10;13;43;45;12;5;7;0,28
20/07/2017;0,25;0,02;2;10;12;55;57;12;5;8;0,21
19/07/2017;0,45;0,09;2;12;14;81;87;32;5;9;0,39
18/07/2017;;;2;13;15;82;79;33;6;8;
17/07/2017;0,76;0,48;4;22;28;72;72;30;6;13;1,22
16/07/2017;0,49;0,5;2;11;14;68;65;19;5;9;0,48
15/07/2017;0,76;0,14;2;10;13;59;62;12;4;8;0,44
14/07/2017;0,3;0,06;2;11;14;50;46;8;4;7;0,32
13/07/2017;0,31;0,08;2;11;14;39;39;10;4;6;0,27
12/07/2017;0,72;0,96;2;11;15;36;37;12;4;7;0,78
11/07/2017;0,63;0,42;3;12;17;42;43;13;4;8;0,76
10/07/2017;0,36;0,04;2;9;11;45;47;12;4;6;0,25
09/07/2017;0,53;0,06;1;8;11;61;63;20;4;6;0,38
08/07/2017;0,45;0,01;1;8;10;69;68;20;4;5;0,23
07/07/2017;0,63;0,15;2;12;15;49;48;19;4;7;0,54
06/07/2017;1,71;0,79;3;17;22;53;57;27;4;6;1,42
05/07/2017;;;1;10;13;59;60;30;4;7;
04/07/2017;2,01;1,78;9;24;37;50;43;25;5;10;2,88
03/07/2017;1,38;0,91;4;13;20;28;30;11;4;9;1,57
02/07/2017;1,14;0,47;1;9;11;48;50;14;3;7;0,65
01/07/2017;0,98;0,25;1;6;7;59;63;18;3;6;0,35
30/06/2017;1,17;0,29;1;5;6;70;70;13;3;6;0,44
29/06/2017;1,12;0,27;1;6;8;70;69;16;4;7;0,44
28/06/2017;1,08;0,6;2;7;10;59;56;15;4;6;0,9
27/06/2017;0,78;0,54;3;16;21;38;36;17;4;8;1,03
26/06/2017;1,13;0,6;2;13;17;39;39;15;4;7;1,25
25/06/2017;0,94;0,6;2;12;14;43;44;16;3;7;1,12
24/06/2017;1,07;0,51;1;10;12;51;52;20;3;7;0,91
23/06/2017;0,69;0,18;1;13;15;58;60;29;2;6;0,56
