Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
19/08/2017;;0,29;0,3;;3;17;20;0,41;10;3;0,51
18/08/2017;;0,31;0,31;0,44;9;26;35;0,9;15;3;1,26
17/08/2017;;0,27;0,27;0,37;13;27;39;0,98;14;6;1,58
16/08/2017;;0,25;0,26;;6;21;25;0,41;10;3;0,73
15/08/2017;;0,29;0,3;;;;14;0,23;11;3;0,36
14/08/2017;;0,34;0,32;;8;28;41;4,64;23;5;2,75
13/08/2017;;0,23;0,22;;;;33;0,3;18;8;0,66
12/08/2017;;0,18;0,18;;7;22;29;0,3;14;7;0,69
11/08/2017;;0,22;0,2;;12;26;37;0,5;19;5;1,97
10/08/2017;;0,16;0,15;;4;21;25;0,32;15;3;0,91
09/08/2017;;0,15;0,15;;2;17;20;0,19;11;4;0,47
08/08/2017;;0,15;0,15;;2;19;22;0,2;10;4;0,5
07/08/2017;;0,28;0,29;;5;21;29;;18;4;
06/08/2017;;0,28;0,26;;1;7;9;0,1;11;2;0,24
05/08/2017;;0,26;0,27;;2;12;14;0,14;11;2;0,32
04/08/2017;;0,29;0,3;;6;18;28;0,33;21;4;0,74
03/08/2017;;0,26;0,26;;10;23;39;2,44;21;5;2,06
02/08/2017;;0,29;0,27;;10;25;39;0,84;20;4;1,28
01/08/2017;;0,27;0,28;;9;23;36;2,21;15;3;1,81
31/07/2017;;0,29;0,28;;3;20;25;0,31;12;3;0,78
30/07/2017;;0,29;0,3;;7;20;31;0,43;18;8;0,98
29/07/2017;;0,26;0,26;;7;24;35;0,47;16;7;1,11
28/07/2017;;0,38;0,37;;4;19;25;0,28;11;3;0,65
27/07/2017;;0,33;0,35;;14;23;45;0,73;23;6;1,63
26/07/2017;0,24;0,31;0,27;;11;26;42;0,38;23;6;1,05
25/07/2017;;0,17;0,17;;2;12;15;0,12;11;5;0,33
24/07/2017;;0,18;0,21;;3;15;19;0,2;8;4;0,57
23/07/2017;0,13;0,26;0,24;;4;16;21;0,17;18;8;0,41
22/07/2017;;0,22;0,23;;11;18;34;0,4;19;10;0,85
21/07/2017;;0,24;0,24;;11;28;44;0,5;16;5;1,45
20/07/2017;;0,21;0,2;;4;22;28;0,32;11;3;0,75
19/07/2017;;0,27;0,28;;3;17;21;3,84;21;3;2,28
18/07/2017;;0,32;0,38;;4;27;33;0,53;30;3;1,1
17/07/2017;;0,42;0,38;0,35;13;43;63;1,12;41;8;2,08
16/07/2017;;0,31;0,29;;4;21;26;0,29;21;5;0,71
15/07/2017;;0,22;0,2;;1;9;10;0,09;11;2;0,23
14/07/2017;;0,26;0,27;;3;13;17;0,11;9;2;0,32
13/07/2017;;0,25;0,25;;3;15;20;0,19;11;3;0,46
12/07/2017;;0,3;0,31;;21;28;59;0,55;25;12;1,78
11/07/2017;;0,28;0,28;;11;25;41;0,67;17;6;1,27
10/07/2017;;0,26;0,27;;4;16;22;2;12;3;1,43
09/07/2017;;0,36;0,39;;2;10;13;0,1;20;3;0,35
08/07/2017;;0,36;0,32;;2;11;13;0,1;19;2;0,26
07/07/2017;;0,29;0,3;;6;23;32;0,16;24;4;1,27
06/07/2017;;0,31;0,3;;6;36;44;0,33;27;6;1,52
05/07/2017;0,21;0,29;0,31;;5;23;30;0,34;23;4;1,14
04/07/2017;;0,3;0,26;0,39;13;45;65;0,68;23;6;2,59
03/07/2017;;0,21;0,21;;13;19;38;0,35;12;6;0,99
02/07/2017;;0,22;0,21;;6;20;30;0,22;14;6;0,56
01/07/2017;;0,16;0,16;;2;12;15;0,12;15;3;0,39
30/06/2017;0,05;0,15;0,14;0,08;5;23;29;0,3;10;2;0,84
29/06/2017;0,03;0,12;0,12;0,02;3;12;16;0,19;12;3;0,57
28/06/2017;0,1;0,18;0,21;0,08;5;18;25;0,34;;3;0,74
27/06/2017;0,22;0,35;0,32;0,1;10;24;38;0,22;17;4;1,2
26/06/2017;0,12;0,32;0,32;0,09;10;24;39;0,3;17;4;1,18
25/06/2017;0,09;0,25;0,24;0,07;5;18;25;0,31;17;3;0,8
24/06/2017;0,23;0,34;0,35;0,03;2;15;18;0,14;16;2;0,52
23/06/2017;0,32;0,33;0,33;0,07;4;24;29;0,14;28;3;1,1
22/06/2017;0,27;0,44;0,44;0,01;2;16;19;0,12;26;2;0,51
21/06/2017;0,15;0,4;0,45;0,42;8;49;61;0,49;35;8;2,54
20/06/2017;0,24;0,46;0,38;0,31;9;49;62;0,48;25;6;2,2
19/06/2017;0,11;0,33;0,35;0,2;8;42;54;0,64;26;6;1,52
18/06/2017;0,09;0,3;0,29;0,23;5;40;47;0,59;28;12;1,13
17/06/2017;0,16;0,26;0,24;0,17;7;29;39;0,49;25;4;0,92
16/06/2017;0,11;0,26;0,27;0,12;5;21;28;0,21;19;2;1,28
15/06/2017;0,17;0,27;0,27;0,07;3;20;23;0,24;15;2;0,9
14/06/2017;0,13;0,4;0,34;0,14;4;22;28;0,31;25;3;1,03
13/06/2017;0,11;;;0,23;10;29;44;0,51;23;3;2,15
12/06/2017;0,1;0,21;0,21;0,01;5;15;22;0,14;14;2;0,45
11/06/2017;0,13;0,3;0,29;0;3;12;16;0,17;22;3;0,39
10/06/2017;0,1;0,27;0,26;0,12;8;19;31;0,42;25;4;1,09
09/06/2017;0,11;0,23;0,24;0,11;12;25;43;0,52;21;5;1,27
08/06/2017;0,12;0,28;0,31;0,26;15;37;59;0,61;24;5;1,86
07/06/2017;0,21;0,3;0,25;0,17;11;31;48;0,74;30;5;1,33
06/06/2017;0,11;0,13;0,16;0,01;3;13;17;0,18;17;4;0,48
05/06/2017;0,16;0,22;0,2;0,09;11;29;46;0,53;16;5;1,09
04/06/2017;0,18;0,19;0,2;0;4;23;28;0,21;10;2;0,51
03/06/2017;0,16;0,26;0,29;0,08;4;24;30;0,46;14;2;0,91
02/06/2017;0,17;0,33;0,35;0,05;4;22;28;0,34;17;2;0,63
01/06/2017;0,11;0,33;0,3;0,19;12;26;45;0,57;21;3;1,65
