Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
26/01/2015;0,47;0,55;5;42;43;46;19;9
25/01/2015;0,56;0,48;5;11;29;25;13;5
24/01/2015;0,47;0,54;5;20;27;32;17;6
23/01/2015;0,5;0,47;4;35;40;27;18;6
22/01/2015;0,27;0,23;3;8;26;14;9;6
21/01/2015;0,22;0,23;4;5;20;10;6;6
20/01/2015;0,3;0,31;4;13;34;10;8;6
19/01/2015;0,23;0,22;5;4;21;8;5;5
18/01/2015;0,2;0,26;6;3;14;4;3;5
17/01/2015;0,39;0,31;6;7;29;13;7;7
16/01/2015;0,21;0,21;6;5;31;5;3;6
15/01/2015;0,21;0,19;7;6;26;9;5;5
14/01/2015;0,23;0,24;6;33;32;15;9;8
13/01/2015;0,18;0,17;8;5;24;9;9;5
12/01/2015;0,24;0,28;7;13;32;8;7;6
11/01/2015;0,29;0,26;8;9;26;17;9;8
10/01/2015;0,34;0,4;10;35;37;27;18;16
09/01/2015;0,45;0,4;9;73;57;34;19;14
08/01/2015;0,47;0,46;8;81;64;31;20;14
07/01/2015;0,41;0,41;8;58;53;30;20;17
06/01/2015;0,33;0,33;9;31;41;27;17;20
05/01/2015;0,33;0,32;7;54;51;22;15;13
04/01/2015;0,35;0,38;9;23;41;29;18;15
03/01/2015;0,73;0,78;9;53;56;34;20;16
02/01/2015;1,22;1,13;7;82;71;;20;15
01/01/2015;0,76;0,9;7;34;52;;23;10
