Date;Benceno (µg/m3);CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
27/05/2013;0,24;0,19;9;31;44;43;1,66;;6;1,44
26/05/2013;0,19;;7;22;33;37;0,89;;5;1,17
25/05/2013;0,19;;4;18;25;48;0,5;;5;0,73
24/05/2013;0,34;;4;18;25;54;0,65;;4;1,01
23/05/2013;0,18;;4;22;29;44;1,18;;5;1,55
22/05/2013;;0,14;5;27;35;39;;;5;
21/05/2013;;0,2;25;45;83;27;;;9;
20/05/2013;0,11;0,21;13;35;55;37;0,9;;7;1,35
19/05/2013;0,08;0,21;4;17;23;55;0,12;;4;0,33
18/05/2013;0,05;0,18;5;27;35;42;0,31;;5;0,6
17/05/2013;;0,2;18;41;69;29;;;6;
16/05/2013;;0,15;8;33;45;41;;;5;
15/05/2013;0,07;0,18;6;29;38;46;0,6;;8;1,49
14/05/2013;;0,29;13;34;55;32;;;6;
13/05/2013;;0,23;15;30;53;34;;;7;
12/05/2013;;0,15;4;17;23;47;;;6;
11/05/2013;;0,12;6;19;29;46;;;6;
10/05/2013;;0,18;11;27;44;40;;;4;
09/05/2013;;;7;31;41;32;;;3;
08/05/2013;;;9;32;46;30;;;2;
07/05/2013;;0,2;15;43;66;22;;;2;
06/05/2013;;0,21;19;51;80;24;;;6;
05/05/2013;;0,18;8;33;46;32;;;5;
04/05/2013;;0,19;15;35;58;29;;;6;
03/05/2013;;0,23;10;47;62;29;;;7;
02/05/2013;;0,23;6;35;44;34;;;4;
01/05/2013;;0,2;9;26;40;28;;;6;
30/04/2013;;0,21;7;38;48;35;;;5;
29/04/2013;0,05;;4;17;23;50;0,01;;5;0,22
28/04/2013;;;5;20;28;48;;;6;
27/04/2013;;;4;20;27;49;;;6;
26/04/2013;0,12;;5;25;33;40;0,53;;6;0,89
25/04/2013;;0,23;9;38;52;44;;;7;
24/04/2013
23/04/2013
22/04/2013;;;23;41;76;26;;;5;
21/04/2013;;0,15;8;29;41;38;;;6;
20/04/2013;;0,21;11;35;51;34;;;5;
19/04/2013;;;5;23;30;48;;;4;
18/04/2013;;;6;26;35;38;;;4;
17/04/2013;;;16;43;68;28;;;5;
16/04/2013;;0,21;17;43;68;26;;;5;
15/04/2013;;0,2;12;38;56;30;;;4;
14/04/2013;;0,17;5;29;37;39;;;3;
13/04/2013;;0,15;7;42;53;31;;;4;
12/04/2013;;0,2;8;41;53;31;;;5;
11/04/2013;4,1;0,23;12;44;62;29;1,8;;4;4,13
10/04/2013;;0,21;15;34;58;29;;;4;
09/04/2013;;0,21;7;43;53;40;;;5;
08/04/2013;;0,22;12;38;57;36;;;5;
07/04/2013;;0,2;6;35;44;36;;;5;
06/04/2013;;0,39;4;28;35;42;;;5;
05/04/2013;;;5;34;41;53;;;6;
04/04/2013;;;5;37;45;41;;;6;
03/04/2013;;0,29;20;45;75;25;;;6;
02/04/2013;;0,18;5;28;36;42;;;5;
01/04/2013;;0,19;3;20;25;51;;;5;
31/03/2013;;0,21;8;35;46;28;;;5;
30/03/2013;;0,1;4;24;31;44;;;5;
29/03/2013;;;6;28;37;33;;;4;
28/03/2013;;0,18;5;25;33;40;;;4;
27/03/2013;;0,16;11;41;57;27;;;4;
26/03/2013;;0,26;9;45;59;27;;;5;
25/03/2013;;0,21;25;54;92;21;;;5;
24/03/2013;;0,15;8;36;49;33;;;6;
23/03/2013;;0,28;11;51;68;27;;;5;
22/03/2013;;0,24;10;42;57;38;;;5;
21/03/2013;;;9;46;60;33;;;6;
20/03/2013;;;6;35;43;42;;;6;
19/03/2013;;0,31;19;45;74;28;;;7;
18/03/2013;;0,22;7;36;46;40;;;6;
17/03/2013;;0,2;5;35;42;41;;;5;
16/03/2013;;0,2;6;38;48;38;;;6;
15/03/2013;;0,26;16;54;80;;;;6;
14/03/2013;;0,32;5;38;46;;;;;
13/03/2013;;0,31;4;20;26;58;;;;
12/03/2013;;0,22;7;30;39;39;;;;
11/03/2013;;0,11;5;25;32;47;;;;
10/03/2013;;0,2;3;17;22;54;;;;
09/03/2013;;0,28;4;23;30;49;;;;
08/03/2013;;0,34;10;38;54;36;;;1;
07/03/2013;;0,26;7;34;45;40;;;1;
06/03/2013;;0,26;12;45;63;32;;;1;
05/03/2013;;0,23;10;40;55;35;;;1;
04/03/2013;;0,22;8;41;53;42;;;2;
03/03/2013;;0,36;16;56;81;24;;;3;
02/03/2013;;0,55;20;42;73;26;;;2;
01/03/2013;;0,42;33;49;100;29;;;5;
28/02/2013;;0,44;26;64;104;26;;;9;
27/02/2013;;0,36;18;54;82;25;;;8;
26/02/2013;;0,29;31;62;110;20;;;8;
25/02/2013
24/02/2013
23/02/2013
22/02/2013;;0,14;6;27;36;40;;;6;
21/02/2013;;0,24;27;52;93;22;;;7;
20/02/2013;;0,21;33;62;112;18;;;8;
19/02/2013;;0,25;29;55;100;18;;;8;
18/02/2013;;0,25;30;51;98;21;;;8;
17/02/2013;;0,24;14;45;67;20;;;8;
16/02/2013;;0,26;21;43;75;14;;;8;
15/02/2013;;0,23;25;54;93;21;;;7;
14/02/2013;;0,26;49;57;133;13;;;8;
13/02/2013;;0,17;13;49;69;29;;;7;
12/02/2013;;0,22;6;36;45;42;;;6;
11/02/2013;;0,17;5;25;32;54;;;6;
10/02/2013;;0,19;12;38;56;36;;;6;
09/02/2013;;0,21;5;34;41;41;;;6;
08/02/2013;;0,15;4;30;36;46;;;6;
07/02/2013;;0,17;5;31;39;45;;;6;
06/02/2013;;0,11;4;22;29;55;;;6;
05/02/2013;;0,14;6;30;39;44;;;6;
04/02/2013;;0,34;44;60;127;18;;;4;
03/02/2013;;0,19;3;18;23;57;;;5;
02/02/2013;;0,18;3;14;18;62;;;4;
01/02/2013;;0,2;27;35;76;25;;;4;
31/01/2013;;0,26;28;50;93;13;;;4;
30/01/2013;;0,26;8;31;43;30;;;4;
29/01/2013;;0,18;14;45;66;28;;;5;
28/01/2013;;0,14;20;48;79;29;;;5;
27/01/2013;;0,15;6;31;39;36;;;5;
26/01/2013;;0,22;9;30;43;44;;;4;
25/01/2013;;0,29;25;58;97;18;;;5;
24/01/2013;;0,21;4;27;34;51;;;4;
23/01/2013;;0,11;6;33;42;49;;;5;
22/01/2013;;0,14;21;47;79;37;;;5;
21/01/2013;;0,15;15;38;61;42;;;3;
20/01/2013;;0,14;5;23;30;49;;;2;
19/01/2013;;0,13;5;27;35;46;;;1;
18/01/2013;;0,15;13;47;68;27;;;2;
17/01/2013;;;15;47;71;25;;;2;
16/01/2013;;;8;36;48;40;;;2;
15/01/2013;;0,18;4;28;33;52;;;2;
14/01/2013;;0,15;6;39;49;41;;;2;
13/01/2013;;0,15;11;43;60;33;;;4;
12/01/2013;;0,18;24;52;88;24;;;4;
11/01/2013;;0,37;69;71;177;10;;;5;
10/01/2013;;;28;53;96;19;;;5;
09/01/2013;;0,16;38;63;122;11;;;7;
08/01/2013;;0,26;43;49;116;11;;;6;
07/01/2013;;0,23;23;47;82;12;;;5;
06/01/2013;;0,21;9;30;44;23;;;5;
05/01/2013;;0,28;37;37;94;13;;;5;
04/01/2013;;0,29;62;54;149;9;;;6;
03/01/2013;;0,27;43;54;120;14;;;4;
02/01/2013;;0,25;5;29;36;51;;;4;
01/01/2013;;0,2;4;26;33;42;;;4;
