Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
09/02/2022;0,52;0,28;0,24;0,54;24;84;48;2,07;25;13;5;3,55
08/02/2022;0,47;0,26;0,27;0,57;14;56;35;2,31;23;16;6;3,73
07/02/2022;0,42;0,32;0,33;0,31;22;81;47;1,14;22;11;14;2,38
06/02/2022;0,49;0,27;0,27;0,11;11;52;37;0,58;22;14;13;1,38
05/02/2022;0,23;0,21;0,2;0,07;3;24;20;0,41;11;6;4;1,12
04/02/2022;0,55;0,33;0,35;0,52;28;91;50;1,95;24;15;11;3,08
03/02/2022;0,66;0,32;0,3;0,54;39;108;49;2,13;24;14;11;3,62
02/02/2022;0,73;0,31;0,31;0,58;36;101;46;2,51;21;13;10;4,58
01/02/2022;0,27;0,22;0,21;0,11;6;35;26;0,48;17;9;4;1,74
31/01/2022;0,26;0,25;0,27;0,03;7;30;20;0,28;8;4;5;1,32
30/01/2022;0,68;0,33;0,34;0,1;10;44;28;0,49;30;26;12;1,94
29/01/2022;0,44;0,27;0,24;0,16;6;39;30;0,66;28;23;9;2,5
28/01/2022;0,51;0,26;0,28;0,23;8;44;32;0,9;21;15;9;3,68
27/01/2022;0,75;0,33;0,33;0,53;31;81;33;1,87;28;20;10;6,89
26/01/2022;0,73;0,39;0,4;1,64;37;105;49;2,93;29;19;11;8,72
25/01/2022;0,66;0,35;0,35;0,8;26;91;51;3,12;25;15;10;2,4
24/01/2022;0,54;0,31;0,29;0,28;22;80;46;1,13;25;14;10;2,04
23/01/2022;0,56;0,3;0,31;0,15;10;51;36;0,68;22;16;11;1,06
22/01/2022;0,35;0,22;0,19;0,08;7;36;25;0,43;16;10;6;0,75
21/01/2022;;0,19;0,2;;3;20;16;;10;6;3;
20/01/2022;0,59;0,32;0,34;0,43;29;87;43;1,51;18;13;10;2,59
19/01/2022;0,73;0,36;0,35;0,59;47;118;46;2,26;33;22;14;3,02
18/01/2022;0,64;0,33;0,32;0,29;29;84;40;1,16;30;21;14;1,91
17/01/2022;0,66;0,37;0,39;0,32;30;84;39;1,21;28;19;14;1,81
16/01/2022;0,77;0,35;0,34;0,23;19;73;45;1;23;15;15;1,56
15/01/2022;0,64;0,3;0,29;0,3;18;72;46;1,18;22;15;15;1,79
14/01/2022;0,68;0,27;0,25;0,47;23;83;49;1,84;20;13;14;2,81
13/01/2022;0,59;0,18;0,16;0,39;23;79;44;1,45;20;13;9;2,27
12/01/2022;0,45;0,18;0,18;0,32;13;54;35;1,18;19;13;4;1,84
11/01/2022;0,08;0,18;0,19;0,08;3;27;23;0,37;9;4;3;0,66
10/01/2022;0,03;0,2;0,19;0;2;13;11;0,1;5;3;4;0,27
09/01/2022;0,17;0,26;0,26;0,06;2;20;17;0,36;7;5;5;0,58
08/01/2022;0,22;0,18;0,18;0,03;5;29;21;0,32;6;4;4;0,62
07/01/2022;0,41;0,25;0,26;0,06;3;29;25;0,37;11;7;5;0,7
06/01/2022;0,47;0,21;0,21;0,19;6;37;28;0,75;10;7;4;1,12
05/01/2022;0,34;0,19;0,16;0,15;7;42;32;0,63;10;5;4;1,12
04/01/2022;0,08;0,16;0,17;0,02;2;15;12;0,33;9;4;3;0,58
03/01/2022;0,29;0,2;0,21;0,21;10;40;24;0,89;11;6;4;1,45
02/01/2022;0,29;0,22;0,19;0,29;5;33;25;1,26;14;8;3;1,86
01/01/2022;0,16;0,14;0,14;0,25;2;17;14;1,2;12;5;4;1,8
