Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
24/05/2022;0,11;0,11;2;8;5;;;13;3;4
23/05/2022;0,15;0,14;2;7;4;;;12;5;3
22/05/2022;0,22;0,23;3;12;9;;;25;18;3
21/05/2022;0,16;0,15;2;7;4;;;19;8;3
20/05/2022;0,17;;2;6;3;;;18;7;3
19/05/2022;;0,17;3;11;7;;;26;9;3
18/05/2022;0,19;0,19;3;11;7;;;20;10;3
17/05/2022;0,15;0,15;2;11;8;;;17;9;4
15/05/2022;0,16;0,16;2;8;5;79;77;20;11;3
14/05/2022;0,16;0,16;2;11;8;50;51;20;9;3
13/05/2022
12/05/2022
11/05/2022
10/05/2022
09/05/2022
08/05/2022
07/05/2022
06/05/2022
05/05/2022
04/05/2022
03/05/2022
02/05/2022
01/05/2022
30/04/2022
29/04/2022
28/04/2022
27/04/2022
26/04/2022;0,24;0,24;7;27;17;58;56;21;13;4
25/04/2022;0,22;0,23;4;18;11;62;62;16;9;4
24/04/2022;0,18;0,17;2;8;6;82;85;12;5;3
23/04/2022;0,17;0,19;2;7;5;75;66;10;4;4
22/04/2022;0,23;0,21;3;21;17;46;49;16;8;4
21/04/2022;0,18;0,17;2;10;7;73;80;14;5;4
20/04/2022;0,15;0,15;2;4;2;93;92;15;5;4
19/04/2022;0,16;0,16;2;4;2;90;88;10;3;4
18/04/2022;0,26;0,27;2;6;3;83;85;13;8;4
17/04/2022;0,26;0,27;3;13;9;69;65;17;12;4
16/04/2022;0,21;0,2;3;16;12;62;64;27;22;10
15/04/2022;0,18;0,19;2;8;5;75;75;17;11;4
14/04/2022;0,18;0,18;2;6;3;73;73;10;5;4
13/04/2022;0,18;0,18;5;18;11;62;62;15;5;4
12/04/2022;0,14;0,14;3;13;8;79;79;9;3;4
11/04/2022;0,15;0,15;2;9;6;76;76;21;9;4
10/04/2022;0,16;0,15;2;10;7;71;70;9;4;4
09/04/2022;0,17;0,16;2;9;6;80;83;24;5;4
08/04/2022;0,13;0,15;2;8;5;75;69;25;7;4
07/04/2022;0,22;0,22;4;22;17;57;57;22;11;5
06/04/2022;0,27;0,28;6;33;24;59;59;19;14;6
05/04/2022;0,35;0,34;7;35;24;60;59;22;16;8
04/04/2022;0,23;0,22;3;22;17;66;67;13;10;6
03/04/2022;0,19;0,19;2;14;11;73;74;8;6;6
02/04/2022;0,15;0,14;2;7;4;90;92;11;4;6
01/04/2022;0,15;0,15;2;5;2;89;88;13;4;6
31/03/2022;0,18;0,18;2;6;4;94;94;13;6;6
30/03/2022;0,19;0,2;1;5;3;94;96;19;11;5
29/03/2022;0,24;0,23;2;12;9;76;73;37;18;6
28/03/2022;0,2;0,2;2;13;11;80;83;56;24;6
27/03/2022;0,17;0,18;1;7;5;86;86;25;13;6
26/03/2022;0,2;0,2;2;12;9;86;84;22;13;6
25/03/2022;0,21;0,2;2;12;9;80;82;19;11;6
24/03/2022;0,19;0,19;2;12;9;91;92;14;9;6
23/03/2022;0,2;0,2;2;9;6;97;97;15;11;6
22/03/2022;0,18;0,18;2;9;6;91;89;14;10;5
20/03/2022
19/03/2022;0,21;0,21;2;10;8;73;67;24;13;5
18/03/2022;0,19;0,18;2;7;5;53;58;25;9;5
17/03/2022;0,16;0,15;1;4;2;77;79;25;8;5
16/03/2022;0,21;0,21;1;7;5;72;71;51;17;5
15/03/2022;0,21;0,21;2;13;10;71;70;98;31;5
14/03/2022;0,16;0,17;2;16;13;65;65;11;5;5
13/03/2022;0,16;0,15;2;10;8;79;82;39;6;5
12/03/2022;0,13;0,14;2;12;9;68;66;17;5;5
11/03/2022;0,14;0,13;2;9;6;78;79;19;5;5
10/03/2022;0,17;0,18;2;11;8;75;74;9;4;5
09/03/2022;0,15;0,17;2;13;11;66;60;10;6;5
08/03/2022;0,2;0,2;2;19;16;65;68;13;6;5
07/03/2022;0,23;0,23;5;27;19;44;42;14;11;5
06/03/2022;0,17;0,16;2;17;14;65;69;11;5;5
05/03/2022;0,19;0,2;2;16;13;63;66;21;6;5
04/03/2022;0,17;0,14;1;6;4;82;83;25;6;5
03/03/2022;0,15;0,17;2;16;12;56;47;9;3;5
02/03/2022;0,2;0,24;2;15;12;55;54;27;9;5
01/03/2022;0,3;0,29;4;35;28;29;30;48;23;6
28/02/2022;0,26;0,25;5;28;21;33;35;32;14;6
27/02/2022;0,21;0,21;2;18;14;51;52;23;10;6
26/02/2022;0,23;0,23;3;23;19;43;39;20;9;6
25/02/2022;0,18;0,16;3;19;15;52;60;24;8;5
24/02/2022;0,21;0,25;6;23;13;53;45;48;16;5
23/02/2022;0,32;0,3;14;56;35;23;25;61;22;13
22/02/2022;0,21;0,18;9;35;21;42;48;89;27;7
21/02/2022;0,15;0,18;1;6;4;72;66;48;15;5
20/02/2022;0,24;0,24;4;28;23;35;34;32;10;6
19/02/2022;0,17;0,14;2;12;10;64;71;35;8;5
18/02/2022;0,17;0,18;6;22;13;48;40;37;10;7
17/02/2022;0,18;0,18;5;21;14;45;48;54;13;5
16/02/2022;0,2;0,22;4;23;17;46;41;22;7;6
15/02/2022;0,17;0,16;3;21;17;56;65;42;7;7
14/02/2022;0,17;0,17;1;7;5;78;78;19;4;6
13/02/2022;0,2;0,22;2;13;10;56;47;24;14;6
12/02/2022;0,26;0,24;7;35;24;23;27;25;15;6
11/02/2022;0,23;0,24;3;20;16;45;45;21;11;5
10/02/2022;0,27;0,29;9;41;28;34;31;71;25;7
09/02/2022;0,25;0,22;4;27;21;49;55;56;19;5
08/02/2022;0,22;0,22;8;32;20;39;38;14;9;6
07/02/2022;0,23;0,26;7;38;27;38;34;41;13;7
06/02/2022;0,27;0,26;5;39;31;27;29;23;15;8
05/02/2022;0,19;0,16;3;21;16;61;69;16;7;5
04/02/2022;0,26;0,29;9;42;28;41;35;22;12;7
03/02/2022;0,33;0,33;18;64;36;26;25;29;20;10
02/02/2022;0,28;0,26;10;51;36;19;20;21;16;7
01/02/2022;0,17;0,15;8;26;14;62;74;22;;4
31/01/2022;0,16;0,18;10;20;5;60;52;9;3;5
30/01/2022;0,3;0,32;12;31;12;29;27;21;;5
29/01/2022;0,28;0,25;12;36;18;34;37;21;18;6
28/01/2022;0,26;0,28;9;26;12;50;50;12;8;5
27/01/2022;0,38;0,4;23;63;28;28;23;26;19;9
26/01/2022;0,36;0,36;22;73;39;20;19;32;22;9
25/01/2022;0,27;0,25;14;51;30;34;36;20;13;7
24/01/2022;0,22;0,21;11;40;22;43;47;18;11;6
23/01/2022;0,27;0,29;7;34;24;35;31;16;13;7
22/01/2022;0,24;0,21;9;33;20;42;49;15;10;5
21/01/2022;0,19;0,18;7;19;8;66;65;11;5;4
20/01/2022;0,26;0,31;19;53;25;28;19;20;13;8
19/01/2022;0,46;0,43;31;93;46;5;6;33;22;10
18/01/2022;0,31;0,31;21;70;39;22;23;30;23;11
17/01/2022;0,31;0,31;17;63;37;24;24;27;19;11
16/01/2022;0,25;0,24;8;39;28;35;34;18;13;9
15/01/2022;0,23;0,22;9;42;29;36;37;19;13;10
14/01/2022;0,2;0,18;9;43;30;37;39;16;11;9
13/01/2022;0,23;0,25;11;49;32;21;18;19;11;7
12/01/2022;0,25;0,23;18;53;26;28;36;22;10;6
11/01/2022;0,16;0,14;6;15;6;65;67;10;3;5
10/01/2022;0,14;0,14;5;14;7;66;65;11;3;5
09/01/2022;0,16;0,16;6;18;9;74;76;39;8;6
08/01/2022;0,16;0,16;7;22;12;72;72;61;11;8
07/01/2022;0,21;0,23;5;18;11;69;64;27;7;6
06/01/2022;0,21;0,23;7;28;18;41;37;11;6;6
05/01/2022;0,21;0,18;9;34;20;49;60;14;5;6
04/01/2022;0,15;0,15;6;15;5;72;69;16;4;5
03/01/2022;0,17;0,2;9;27;13;51;46;13;6;6
02/01/2022;0,23;0,21;12;33;15;50;53;19;9;6
01/01/2022;0,15;0,16;9;19;6;56;57;11;5;6
