Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
03/02/2020;0,2;0,22;0,21;0,43;15;36;59;1,74;63;20;10;3,31
02/02/2020;0,25;0,2;0,21;0,42;3;17;21;2,12;9;4;5;3,79
01/02/2020;0,37;0,29;0,27;0,35;11;33;50;1,35;11;6;7;2,43
31/01/2020;0,37;0,22;0,22;0,43;14;29;51;1,74;7;3;6;3,38
30/01/2020;0,2;0,19;0,19;0,26;3;20;24;1,09;6;3;5;2,05
29/01/2020;0,44;0,27;0,28;0,46;18;37;64;1,82;17;10;9;3,75
28/01/2020;0,42;0,23;0,22;0,19;8;34;47;0,83;21;10;6;1,52
27/01/2020;0,36;0,18;0,17;0,11;3;16;20;0,52;7;3;4;1,02
26/01/2020;0,56;0,2;0,24;0,2;6;26;35;0,79;13;9;6;1,32
25/01/2020;0,6;0,31;0,29;0,26;7;34;44;1,02;29;15;7;1,69
24/01/2020;0,56;0,24;0,23;0,35;10;35;50;1,38;40;16;6;1,95
23/01/2020;0,84;0,3;0,34;0,66;28;37;79;2,73;32;18;8;3,76
22/01/2020;0,82;0,48;0,47;0,73;36;47;102;2,91;30;20;7;3,55
21/01/2020;0,75;0,37;0,35;0,31;25;40;78;1,43;21;12;7;2,57
20/01/2020;0,44;0,2;0,17;0,08;2;19;22;0,43;11;7;5;0,78
19/01/2020;0,39;0,13;0,16;0,07;1;5;6;0,36;10;5;6;0,47
18/01/2020;0,53;0,22;0,23;0,25;4;29;34;1;9;6;7;1,56
17/01/2020;0,43;0,26;0,23;0,28;5;28;35;1,24;12;6;8;1,32
16/01/2020;0,29;0,19;0,21;0,33;5;20;27;1,44;10;5;6;2,2
15/01/2020;;0,25;0,23;;6;24;32;;12;5;6;
14/01/2020;0,34;0,19;0,18;0,18;3;16;21;0,83;7;5;5;1,19
13/01/2020;0,55;0,18;0,22;0,39;18;33;60;1,63;11;6;10;2,68
12/01/2020;0,87;0,28;0,28;0,29;25;39;77;1,29;15;10;14;2,23
11/01/2020;0,69;0,27;0,28;0,32;17;38;63;1,23;16;12;9;2,15
10/01/2020;0,54;0,3;0,27;0,31;6;32;41;1,21;17;9;8;1,36
09/01/2020;0,62;0,22;0,25;0,88;9;31;44;3,62;13;7;8;3,08
08/01/2020;1,22;0,4;0,41;0,98;59;47;137;3,99;23;15;12;6,58
07/01/2020;1,12;0,39;0,38;0,81;49;46;121;3,26;22;14;11;5,12
06/01/2020;0,74;0,31;0,29;0,12;20;33;64;0,86;13;11;8;1,95
05/01/2020;0,48;0,25;0,23;0,12;7;28;39;0,8;13;9;5;1,75
04/01/2020;0,68;0,3;0,33;0,26;17;27;53;1,24;13;9;6;2,15
03/01/2020;0,86;0,35;0,36;0,49;38;44;102;2,14;22;16;9;3,2
02/01/2020;0,89;0,36;0,34;0,56;38;44;101;2,29;19;12;9;3,56
01/01/2020;0,82;0,28;0,3;0,14;14;32;52;0,78;23;19;8;1,8
