Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
21/01/2020;0,31;0,3;13;21;40;35;37;17;10;4
20/01/2020;0,2;0,19;7;9;20;61;63;14;6;4
19/01/2020;0,17;0,18;7;3;15;68;68;18;5;4
18/01/2020;0,22;0,23;6;10;19;59;55;12;5;4
17/01/2020;0,19;0,18;5;10;17;64;;26;7;4
16/01/2020;0,2;0,2;4;7;12;72;66;16;5;4
15/01/2020;0,41;0,42;6;15;23;;;28;7;4
14/01/2020;0,27;0,24;6;6;15;;;18;7;4
13/01/2020;0,21;0,27;7;17;28;51;42;15;8;4
12/01/2020;0,43;0,44;10;33;49;21;21;26;13;4
11/01/2020;0,42;0,41;8;31;44;26;27;18;10;4
10/01/2020;0,27;0,24;9;18;31;;;40;11;4
09/01/2020;0,28;0,33;10;15;30;;;21;9;4
08/01/2020;0,6;0,59;33;42;93;14;14;33;21;4
07/01/2020;0,4;0,4;18;35;62;21;22;22;14;4
06/01/2020;0,46;0,42;11;24;41;27;26;16;10;4
05/01/2020;0,28;0,26;7;20;32;35;40;16;7;3
04/01/2020;0,29;0,34;7;20;31;48;40;17;;4
03/01/2020;0,46;0,47;20;42;72;10;11;25;18;4
02/01/2020;0,36;0,34;18;30;58;22;23;22;15;4
01/01/2020;0,36;0,38;9;24;39;29;28;33;28;4
