Date;CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3);CO 8h (mg/m3)
19/01/2014;0,21;9;26;39;41;10;10;
18/01/2014;0,15;8;23;35;47;;8;
17/01/2014;0,15;9;22;35;56;;7;
16/01/2014;0,09;9;18;31;63;8;6;
15/01/2014;0,13;20;29;59;41;;7;
14/01/2014;0,18;;;;47;;7;
13/01/2014
12/01/2014
11/01/2014
10/01/2014
09/01/2014
08/01/2014
07/01/2014
06/01/2014;0,18;4;12;17;58;6;4;
05/01/2014;0,18;4;10;16;57;5;4;
04/01/2014;0,17;5;15;21;61;10;5;
03/01/2014;0,41;23;44;78;26;17;4;
02/01/2014;0,23;23;33;67;39;18;6;
01/01/2014;0,2;5;15;22;53;12;5;
