Date;CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);CO 8h (mg/m3)
26/05/2014;0,21;4;10;16;79;16;5;7;
25/05/2014;0,17;3;5;10;80;13;4;5;
24/05/2014;0,28;4;11;18;69;23;6;6;
23/05/2014;0,19;4;9;16;82;18;3;6;
22/05/2014;0,2;4;11;18;75;15;5;5;
21/05/2014;0,16;4;9;15;86;12;5;5;
20/05/2014;0,23;4;11;18;78;16;6;5;
19/05/2014;0,26;4;7;14;99;20;14;4;
18/05/2014;0,28;4;14;21;85;23;13;6;
17/05/2014;0,41;6;19;28;71;28;15;7;
16/05/2014;0,21;5;12;20;86;24;11;5;
15/05/2014;0,27;6;16;25;72;25;13;5;
14/05/2014;0,3;8;21;33;56;23;10;6;
13/05/2014;0,16;4;7;14;79;18;5;5;
12/05/2014;0,33;9;17;32;53;30;10;7;
11/05/2014;0,21;5;5;12;74;26;5;5;
10/05/2014;0,24;5;10;17;46;19;13;5;
09/05/2014;0,31;8;16;28;48;23;15;7;
08/05/2014;0,28;8;12;24;60;29;10;6;
07/05/2014;0,23;3;6;11;77;23;9;4;
06/05/2014;0,22;3;10;16;77;29;14;5;
05/05/2014;0,28;5;14;22;81;24;13;5;
04/05/2014;0,21;4;12;18;75;16;9;4;
03/05/2014;0,16;4;6;11;84;14;4;4;
02/05/2014;0,21;4;3;9;83;12;2;4;
01/05/2014;0,2;4;4;10;72;13;4;4;
30/04/2014;0,17;4;5;11;63;12;5;4;
29/04/2014;0,24;7;14;25;51;15;5;5;
28/04/2014;0,24;3;11;16;64;13;3;4;
27/04/2014;0,2;2;4;7;91;43;9;4;
26/04/2014;0,17;2;4;7;87;23;5;4;
25/04/2014;0,2;2;7;10;93;16;4;5;
24/04/2014;0,24;4;13;19;68;17;6;5;
23/04/2014;0,21;2;10;14;73;18;6;5;
22/04/2014;0,19;2;12;16;73;19;7;5;
21/04/2014;0,25;3;10;15;58;18;10;4;
20/04/2014;0,23;3;10;15;76;28;8;4;
19/04/2014;0,25;4;15;20;77;25;13;7;
18/04/2014;0,26;4;15;22;71;26;16;7;
17/04/2014;0,3;5;18;25;71;29;21;6;
16/04/2014;0,3;6;25;35;62;31;18;7;
15/04/2014;0,28;6;24;32;62;37;19;5;
14/04/2014;0,27;5;21;29;63;31;17;5;
13/04/2014;0,26;3;17;21;64;33;20;4;
12/04/2014;0,24;1;9;11;86;30;11;4;
11/04/2014;0,23;1;6;8;92;23;9;4;
10/04/2014;0,28;8;26;38;53;38;17;5;
09/04/2014;0,23;3;17;22;63;35;9;4;
08/04/2014;0,21;1;8;11;79;16;4;4;
07/04/2014;0,24;1;11;13;64;23;9;5;
06/04/2014;0,26;1;15;17;51;17;8;5;
05/04/2014;0,27;2;21;24;52;11;6;5;
04/04/2014;0,29;2;9;12;81;20;6;5;
03/04/2014;0,25;5;16;24;65;18;7;4;
02/04/2014;0,22;3;17;22;72;18;7;4;
01/04/2014;0,25;3;15;20;77;20;9;5;
31/03/2014;0,27;4;15;21;71;13;7;5;
30/03/2014;0,29;3;10;15;83;38;14;4;
29/03/2014;0,24;4;10;15;96;15;7;5;
28/03/2014;0,32;6;26;35;57;19;10;6;
27/03/2014;0,23;4;15;21;74;19;6;9;0,22
26/03/2014;0,22;3;5;10;86;26;8;5;
25/03/2014;0,22;2;7;11;88;33;8;5;
24/03/2014;0,25;4;19;25;64;24;8;6;
23/03/2014;0,24;4;13;19;78;24;5;6;
22/03/2014;0,21;3;8;13;81;22;5;6;
21/03/2014;0,29;5;19;27;68;34;16;6;
20/03/2014;0,35;9;32;45;50;36;19;7;
19/03/2014;0,23;4;21;27;67;16;7;5;
18/03/2014;0,22;3;7;11;86;22;13;5;
17/03/2014;0,43;10;29;45;56;40;23;7;
16/03/2014;0,35;4;20;27;71;34;19;6;
15/03/2014;0,49;7;31;42;72;57;41;8;
14/03/2014;0,37;10;36;51;61;41;25;9;
13/03/2014;0,33;5;31;38;77;40;25;7;
12/03/2014;0,41;6;31;39;73;42;30;8;
11/03/2014;0,39;9;26;40;73;43;25;8;
10/03/2014;0,39;7;27;37;72;30;16;6;
09/03/2014;0,21;4;12;18;96;14;8;6;
08/03/2014;0,32;5;22;30;64;22;16;6;
07/03/2014;0,36;14;27;48;40;30;18;6;
06/03/2014;0,33;12;25;43;41;19;8;5;
05/03/2014;0,21;4;5;11;74;29;6;5;
04/03/2014;0,21;5;14;21;68;39;11;6;
03/03/2014;0,18;4;4;10;84;33;11;5;
