Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3);Ortoxileno (µg/m3)
02/05/2014;0,3;0,24;2;10;13;90;9;5;0,3;0,35
01/05/2014;0,3;0,18;2;11;14;78;12;6;0,28;0,18
30/04/2014;0,4;0,23;3;17;22;65;11;5;0,32;0,23
29/04/2014;0,25;0,5;8;21;33;58;14;5;0,76;0,5
28/04/2014;0,27;0,34;4;21;26;65;8;4;0,45;0,34
27/04/2014;0,3;0,13;2;13;16;94;20;21;0,21;0,13
26/04/2014;0,36;0,25;2;11;14;93;15;9;0,35;0,25
25/04/2014;0,3;0,42;3;20;24;94;15;16;0,52;0,42
24/04/2014;0,41;1,53;9;28;41;66;20;10;2,56;1,53
23/04/2014;0,36;0,72;3;21;26;77;21;6;1,5;0,72
22/04/2014;0,48;1,87;4;30;35;68;18;7;2,33;1,87
21/04/2014;0,31;0,72;3;23;28;60;22;2;1,67;0,72
20/04/2014;0,37;0,28;2;22;26;77;22;4;0,59;0,28
19/04/2014;0,58;1,3;3;21;26;98;30;11;1,62;1,3
18/04/2014;0,51;1,43;5;29;37;79;31;13;2,27;1,43
17/04/2014;0,69;1,89;6;33;42;77;43;18;2,67;1,89
16/04/2014;1,04;3,11;18;43;70;70;51;14;4,18;3,11
15/04/2014;1,17;4,23;22;47;81;54;50;10;6,57;4,23
14/04/2014;0,62;2,57;14;35;57;69;49;7;3,27;2,57
13/04/2014;0,68;1,24;4;18;23;88;52;6;1,4;1,24
12/04/2014;0,48;0,52;3;19;24;91;37;5;0,8;0,52
11/04/2014;0,87;6,21;5;20;27;92;35;3;5,41;6,21
10/04/2014;0,99;4,86;18;45;72;47;49;12;6,02;4,86
09/04/2014;0,69;2,63;12;35;54;61;31;8;3,45;2,63
08/04/2014;0,33;0,61;4;21;28;82;15;4;0,84;0,61
07/04/2014;0,9;0,94;9;24;38;69;23;6;2,29;0,94
06/04/2014;0,9;1,75;7;28;38;50;25;6;2,67;1,75
05/04/2014;0,54;1,55;5;32;40;50;13;7;1,99;1,55
04/04/2014;0,5;0,77;5;25;33;81;17;14;1,17;0,77
03/04/2014;0,88;1,02;7;29;39;63;16;20;1,65;1,02
02/04/2014;0,45;1,78;6;34;43;66;25;6;1,91;1,78
01/04/2014;0,36;1,32;5;20;27;84;21;5;1,68;1,32
31/03/2014;0,39;1,1;5;20;28;78;14;5;1,51;1,1
30/03/2014;0,4;0,52;3;12;17;92;37;5;0,68;0,52
29/03/2014;0,36;0,26;4;13;18;103;18;4;0,5;0,26
28/03/2014;0,55;2,26;9;30;44;62;23;4;3,07;2,26
27/03/2014;0,43;0,45;5;23;31;77;10;6;0,65;0,45
26/03/2014;0,41;0,2;4;13;19;92;23;4;0,31;0,2
25/03/2014;0,6;0,82;4;18;25;87;18;25;0,94;0,82
24/03/2014;0,77;1,16;7;29;39;60;25;15;2,21;1,16
23/03/2014;0,45;0,14;3;16;22;86;10;9;0,29;0,14
22/03/2014;0,52;0,27;4;14;20;86;11;12;0,41;0,27
21/03/2014;0,7;1,97;10;31;47;70;40;9;2,5;1,97
20/03/2014;0,75;3,28;23;42;77;50;37;8;5,47;3,28
19/03/2014;0,52;3,24;9;40;54;56;22;6;3,2;3,24
18/03/2014;0,4;1,89;4;20;26;87;25;8;0,4;1,89
17/03/2014;0,88;2,18;21;47;80;51;50;11;3,01;2,18
16/03/2014;0,73;0,96;5;27;34;83;50;10;1,47;0,96
15/03/2014;1;2,26;4;29;35;93;68;12;2,58;2,26
14/03/2014;1,21;3,84;19;51;80;62;50;18;3,79;3,84
13/03/2014;1,18;3,43;11;62;79;59;56;13;4,45;3,43
12/03/2014;0,83;3,33;10;47;62;73;55;11;5,48;3,33
11/03/2014;1,02;2,98;15;36;60;81;43;16;3,33;2,98
10/03/2014;0,96;2,47;17;50;76;69;33;10;3,07;2,47
09/03/2014;0,4;0,26;3;14;19;111;12;5;0,47;0,26
08/03/2014;0,73;1,83;8;27;39;69;25;5;2,45;1,83
07/03/2014;1;4,13;23;45;80;33;39;8;4,85;4,13
06/03/2014;0,74;3,34;22;41;74;38;24;5;3,89;3,34
05/03/2014;0,34;0,13;4;13;19;80;16;5;0,2;0,13
04/03/2014;0,77;1,49;6;23;32;70;16;20;1,49;1,49
03/03/2014;0,59;0,41;4;16;22;85;17;25;0,52;0,41
02/03/2014;0,67;1,09;7;25;36;57;12;5;1,5;1,09
01/03/2014;0,43;0,26;4;14;21;72;5;4;0,38;0,26
28/02/2014;0,78;1,84;4;19;25;76;22;12;1,92;1,84
27/02/2014;0,78;4,12;7;34;45;59;30;12;3,26;4,12
26/02/2014;0,56;1,2;10;29;44;64;13;13;1,87;1,2
25/02/2014;0,46;0,53;4;13;19;84;11;7;0,63;0,53
24/02/2014;0,48;0,44;5;20;28;78;17;6;0,6;0,44
23/02/2014;0,53;0,43;4;12;18;82;14;6;0,63;0,43
22/02/2014;0,71;1,58;7;28;38;62;16;8;1,93;1,58
21/02/2014;0,65;1,14;8;33;46;66;16;16;1,79;1,14
20/02/2014;0,59;1,72;7;28;39;50;30;8;1,69;1,72
19/02/2014;0,87;3,17;18;43;71;43;25;11;3,2;3,17
18/02/2014;0,85;1,51;10;29;45;55;18;12;1,7;1,51
17/02/2014;0,44;0,21;4;13;19;82;12;6;0,36;0,21
16/02/2014;0,76;1,36;6;29;38;55;21;11;1,85;1,36
15/02/2014;0,55;0,48;4;23;29;70;17;8;0,75;0,48
14/02/2014;0,29;0,56;4;11;17;68;12;5;0,59;0,56
13/02/2014;0,51;1,71;7;27;38;69;19;8;1,21;1,71
12/02/2014;0,49;0,7;4;13;19;74;12;7;0,89;0,7
11/02/2014;0,49;0,32;4;12;18;83;14;10;0,47;0,32
10/02/2014;0,63;0,41;4;17;24;83;11;19;0,7;0,41
09/02/2014;0,42;0,08;4;8;13;83;8;6;0,3;0,08
08/02/2014;0,59;0,61;4;20;27;73;18;28;0,87;0,61
07/02/2014;0,45;0,48;4;14;20;78;10;14;0,62;0,48
06/02/2014;0,31;0,26;4;9;14;80;10;6;0,35;0,26
05/02/2014;0,72;3,86;11;31;49;65;21;9;3,25;3,86
04/02/2014
03/02/2014;0,52;1,76;5;19;26;72;10;5;1,37;1,76
02/02/2014;0,61;0,87;6;23;32;57;16;8;0,97;0,87
01/02/2014;0,65;0,51;4;17;23;78;13;21;0,94;0,51
31/01/2014;0,54;0,71;5;21;29;70;15;7;0,82;0,71
30/01/2014;0,65;1,16;5;15;22;77;7;6;1,2;1,16
29/01/2014;0,53;0,23;5;18;26;68;9;6;0,48;0,23
28/01/2014;0,55;0,63;4;16;23;75;9;10;0,69;0,63
27/01/2014;0,69;0,42;5;22;29;78;13;32;0,57;0,42
26/01/2014;0,62;0,62;4;19;25;55;13;7;0,94;0,62
25/01/2014;0,47;0,28;4;16;22;67;8;15;0,33;0,28
24/01/2014;0,76;0,64;5;26;34;71;17;39;0,76;0,64
23/01/2014;0,64;0,57;4;18;24;79;19;12;0,71;0,57
22/01/2014;0,59;0,5;5;19;26;71;10;11;0,65;0,5
