Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
20/01/2019;4;18;24;45;7;5;3
19/01/2019;6;23;31;35;10;7;3
18/01/2019;36;49;103;9;17;10;3
17/01/2019;25;47;84;18;17;12;3
16/01/2019;32;43;91;14;23;17;3
15/01/2019;33;40;90;20;17;9;3
14/01/2019;27;44;83;21;10;7;4
13/01/2019;19;39;67;10;14;10;5
12/01/2019;25;44;81;11;21;13;5
11/01/2019;38;45;102;22;24;13;4
10/01/2019;21;34;65;35;21;11;5
09/01/2019;5;24;31;45;14;7;4
08/01/2019;30;49;94;10;23;16;4
07/01/2019;13;42;61;18;30;20;3
06/01/2019;11;31;47;17;36;30;4
05/01/2019;39;39;97;8;37;27;3
04/01/2019;44;38;104;9;32;25;4
03/01/2019;35;36;88;11;27;19;3
02/01/2019;9;33;45;19;9;7;3
01/01/2019;8;23;34;9;16;16;3
