Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
07/03/2019;0,18;0,18;2;17;20;10;6;2
06/03/2019;0,16;0,16;0;9;9;6;3;2
05/03/2019;0,19;0,2;1;20;21;27;17;4
04/03/2019;0,19;0,17;0;17;18;29;12;4
03/03/2019;0,16;0,18;0;14;15;14;9;5
02/03/2019;0,29;0,29;8;39;50;24;17;12
01/03/2019;0,26;0,26;8;39;50;23;15;6
28/02/2019;0,31;0,34;15;46;68;35;21;8
27/02/2019;0,29;0,28;5;43;49;32;18;9
26/02/2019;0,31;0,31;14;58;79;40;26;14
25/02/2019;0,37;0,37;26;65;103;57;37;15
24/02/2019;0,32;0,32;7;44;54;50;31;11
23/02/2019;0,31;0,3;10;47;61;49;28;14
22/02/2019;0,25;0,24;9;47;61;51;28;10
21/02/2019;0,23;0,24;5;38;45;36;21;5
20/02/2019;0,26;0,26;10;43;58;37;24;7
19/02/2019;0,31;0,29;7;37;46;21;12;6
18/02/2019;0,32;0,36;5;28;34;23;12;5
17/02/2019;0,23;0,18;2;26;28;12;8;5
16/02/2019;0,2;0,22;2;31;33;24;14;11
15/02/2019;0,21;0,19;3;33;37;18;12;6
14/02/2019;0,21;0,25;5;34;41;21;14;6
13/02/2019;0,35;0,33;47;51;123;38;24;18
12/02/2019
11/02/2019
10/02/2019
09/02/2019
08/02/2019
07/02/2019
06/02/2019
05/02/2019;0,25;0,24;15;42;65;20;;14
04/02/2019;0,25;0,26;12;39;56;15;;7
03/02/2019;0,22;0,2;2;22;25;14;;5
02/02/2019;0,17;0,19;1;13;14;17;;4
01/02/2019;0,2;0,2;3;31;34;8;;3
31/01/2019;0,2;0,18;3;27;32;7;;4
30/01/2019;0,16;0,17;2;21;24;14;;4
29/01/2019;0,19;0,19;4;26;32;14;;6
28/01/2019;0,21;0,22;1;13;15;18;;5
27/01/2019;0,21;0,21;2;13;15;16;;6
26/01/2019;0,24;0,23;7;37;47;12;;8
25/01/2019;0,17;0,19;2;20;23;12;;3
24/01/2019;0,29;0,25;18;50;77;11;;3
23/01/2019;0,19;0,2;2;17;19;15;;4
22/01/2019;0,22;0,22;5;34;40;8;;6
21/01/2019;0,22;0,21;7;30;40;14;;4
20/01/2019;0,2;0,2;2;21;23;10;;6
19/01/2019;0,17;0,17;2;14;16;3;;3
18/01/2019;0,24;0,25;10;38;53;9;;7
17/01/2019;0,26;0,24;7;38;47;11;;6
16/01/2019;0,32;0,34;47;41;113;29;;10
15/01/2019;0,29;0,27;29;44;87;15;;6
14/01/2019;0,22;0,21;4;32;38;9;;8
13/01/2019;0,28;0,32;9;35;48;12;;13
12/01/2019;0,4;0,39;26;49;88;17;;10
11/01/2019;0,5;0,5;56;63;147;32;;9
10/01/2019;0,26;0,23;13;33;52;14;;4
09/01/2019;0,23;0,24;3;26;30;18;;5
08/01/2019;0,32;0,35;23;49;84;22;;8
07/01/2019;0,4;0,37;10;45;59;21;;5
06/01/2019;0,34;0,36;10;35;49;20;;11
05/01/2019;0,45;0,43;33;50;99;28;;15
04/01/2019;0,37;0,36;31;45;92;26;;7
03/01/2019;0,32;0,29;17;36;61;15;;5
02/01/2019;0,33;0,37;14;39;59;10;;5
01/01/2019;0,42;0,42;26;34;73;34;;7
