Date;CO (mg/m3);SO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);NO (µg/m3);NO2 (µg/m3)
26/02/2012;283;3;15;4;;
25/02/2012;406;8;32;12;;
24/02/2012;946;14;58;21;;
23/02/2012;620;14;51;14;;
22/02/2012;551;8;38;13;;
21/02/2012;526;9;39;16;;
20/02/2012;591;7;33;11;;
19/02/2012;380;5;24;7;;
18/02/2012;407;10;25;9;;
17/02/2012;;6;36;16;;
16/02/2012;;4;15;5;;
15/02/2012;;5;24;8;;
14/02/2012;;5;11;2;;
13/02/2012;;6;26;10;;
12/02/2012;;6;14;5;;
11/02/2012;;7;30;12;;
10/02/2012;;7;46;24;;
09/02/2012;479;6;55;26;;
08/02/2012;166;5;17;8;;
07/02/2012;193;5;15;6;;
06/02/2012;135;4;12;4;;
05/02/2012;125;5;22;7;;
04/02/2012;134;5;18;6;;
03/02/2012;137;5;16;6;;
02/02/2012;161;5;21;9;;
01/02/2012;194;5;14;6;;
31/01/2012;305;10;32;11;;
30/01/2012;;7;30;12;;
29/01/2012;206;5;14;5;;
28/01/2012;337;6;15;6;;
27/01/2012;499;7;19;9;;
26/01/2012;349;8;25;10;;
25/01/2012;430;7;37;11;;
24/01/2012;434;6;22;8;;
23/01/2012;254;7;11;5;;
22/01/2012;246;10;12;6;;
21/01/2012;200;5;6;4;;
20/01/2012;240;7;11;5;;
19/01/2012;336;7;16;7;;
18/01/2012;470;11;47;17;;
17/01/2012;578;10;43;15;;
16/01/2012;395;5;17;9;;
15/01/2012;491;7;26;11;;
14/01/2012;432;8;32;12;;
13/01/2012;452;13;43;17;;
12/01/2012;439;10;47;21;;
11/01/2012;468;10;63;24;;
10/01/2012;368;9;62;30;;
09/01/2012;226;5;16;5;24;59
08/01/2012;202;7;10;5;10;35
07/01/2012;269;7;16;5;24;42
06/01/2012;245;5;23;4;13;27
05/01/2012;238;11;18;5;10;27
04/01/2012;284;14;23;7;;
03/01/2012;208;7;11;6;14;39
02/01/2012;225;6;16;5;16;43
01/01/2012;193;7;13;7;7;18
