Date;CO (mg/m3);SO2 (µg/m3);PM10 (µg/m3);NO (µg/m3);NO2 (µg/m3)
22/02/2012;448;6;32;37;28
21/02/2012;464;4;27;33;26
20/02/2012;363;4;24;25;27
19/02/2012;322;3;19;17;29
18/02/2012;343;4;22;24;27
17/02/2012;449;4;23;48;30
16/02/2012;271;3;17;13;31
15/02/2012;301;3;20;39;26
14/02/2012;;3;13;10;21
13/02/2012;207;4;20;39;28
12/02/2012;91;3;13;11;14
11/02/2012;211;4;29;30;15
10/02/2012;372;4;41;;
09/02/2012;561;5;54;;
08/02/2012;416;3;18;12;18
07/02/2012;416;4;15;22;21
06/02/2012;376;3;13;17;23
05/02/2012;286;4;16;14;15
04/02/2012;285;4;13;21;16
03/02/2012;220;4;16;14;14
02/02/2012;145;4;22;10;15
01/02/2012;239;2;26;15;22
31/01/2012;190;2;23;26;27
30/01/2012;254;2;23;46;17
29/01/2012;115;1;14;10;21
28/01/2012;166;2;14;24;24
27/01/2012;252;2;16;38;27
26/01/2012;237;2;25;;
25/01/2012;277;2;30;;
24/01/2012;269;1;20;;
23/01/2012;185;1;16;33;38
22/01/2012;172;0;11;28;25
21/01/2012;145;1;6;23;35
20/01/2012;177;1;20;13;34
19/01/2012;209;3;18;53;56
18/01/2012;287;4;35;71;39
17/01/2012;286;4;28;107;26
16/01/2012;299;3;16;73;33
15/01/2012;309;3;28;47;33
14/01/2012;306;4;31;50;34
13/01/2012;334;4;37;82;36
12/01/2012;348;4;38;98;31
11/01/2012;286;4;35;100;27
10/01/2012;284;4;40;84;28
09/01/2012;198;2;17;25;35
08/01/2012;381;3;11;29;32
07/01/2012;429;3;16;38;33
06/01/2012;374;3;20;32;37
05/01/2012;309;3;16;30;24
04/01/2012;363;3;21;43;42
03/01/2012;261;3;12;18;31
02/01/2012;284;2;12;13;36
01/01/2012;218;2;11;12;24
