Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
22/03/2021;0,25;0,24;2;12;45;27;17;8;5
21/03/2021;0,2;0,2;2;1;13;11;15;5;2
20/03/2021;0,2;0,2;1;0;7;7;10;4;2
19/03/2021;0,2;0,2;2;1;7;7;13;4;2
18/03/2021;0,19;0,19;2;15;42;20;22;7;2
17/03/2021;0,17;0,17;3;5;21;14;16;6;2
16/03/2021;0,21;0,21;3;15;49;27;26;7;4
15/03/2021;0,23;0,23;2;11;40;24;27;8;9
14/03/2021;0,22;0,22;3;1;9;9;28;7;7
13/03/2021;0,22;0,22;3;3;22;18;24;9;9
12/03/2021;0,2;0,19;5;6;34;25;23;7;8
11/03/2021;0,32;0,35;8;35;85;33;46;17;9
10/03/2021;0,28;0,27;3;12;59;41;29;13;7
09/03/2021;0,27;0,26;4;9;44;31;29;14;7
08/03/2021;0,25;0,26;6;23;61;26;29;11;6
07/03/2021;0,24;0,23;4;3;24;20;25;9;5
06/03/2021;0,21;0,21;4;1;9;8;18;7;3
05/03/2021;0,29;0,32;4;16;47;23;46;18;7
04/03/2021;0,29;0,29;5;10;44;29;74;24;5
03/03/2021;0,29;0,3;5;7;41;31;64;21;5
02/03/2021;0,27;0,22;3;4;24;18;51;17;5
01/03/2021;0,22;0,23;2;3;20;15;36;13;4
28/02/2021;0,26;0,24;2;2;18;15;24;10;6
27/02/2021;0,19;0,19;2;2;10;8;26;8;4
26/02/2021;0,26;0,25;4;7;29;17;29;8;4
25/02/2021;0,21;0,21;5;8;31;20;46;13;5
24/02/2021;0,18;0,17;3;5;27;20;34;12;6
23/02/2021;0,19;0,21;2;4;25;19;10;5;6
22/02/2021;0,22;0,21;3;6;34;25;13;5;7
21/02/2021;0,2;0,19;6;1;10;8;45;14;4
20/02/2021;0,16;0,15;4;2;12;10;29;11;4
19/02/2021;0,15;0,17;2;3;19;14;79;23;5
18/02/2021;0,18;0,17;3;6;30;22;29;10;6
