Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
26/06/2021;0,24;0,59;1;14;12;59;62;10;3;0;1,94
25/06/2021;0,5;0,49;7;26;16;58;58;14;3;0;1,55
24/06/2021;0,13;0,14;1;10;9;75;74;10;3;2;0,42
23/06/2021;0,23;0,15;1;13;12;67;68;6;3;3;0,41
22/06/2021;0,15;0,14;1;9;8;64;62;3;3;1;0,39
21/06/2021;0,11;0,16;1;9;8;57;58;5;4;1;0,43
20/06/2021;0,16;0,16;0;8;8;64;65;8;4;0;0,48
19/06/2021;0,23;0,2;1;9;8;61;61;6;3;1;0,65
18/06/2021;0,21;0,44;3;20;15;59;58;12;3;1;1,06
17/06/2021;0,14;0,28;1;14;13;69;66;11;3;1;0,59
16/06/2021;0,2;0,36;1;18;16;69;72;14;4;0;1,13
15/06/2021;0,98;3,07;6;30;21;60;59;22;3;1;4,9
14/06/2021;0,33;0,78;3;25;21;69;73;25;3;2;2,96
13/06/2021;0,52;0,35;4;20;15;68;67;26;3;0;1,2
12/06/2021;0,14;0,21;1;9;8;77;75;15;3;2;0,58
11/06/2021;0,19;0,31;2;14;11;50;48;12;3;2;0,72
10/06/2021;0,32;0,75;6;30;21;49;51;15;3;2;3,78
09/06/2021;0,28;0,63;1;13;12;68;71;15;3;2;4,29
08/06/2021;0,47;0,66;7;28;17;60;59;21;3;2;4,71
07/06/2021;0,4;0,59;6;26;18;63;63;20;3;3;2,12
06/06/2021;0,16;0,25;1;12;10;66;67;14;2;2;0,78
05/06/2021;0,14;0,41;2;15;12;52;51;10;2;1;1,1
04/06/2021;0,17;0,73;1;12;11;65;67;7;2;3;1,16
03/06/2021;0,13;0,52;1;11;10;71;75;9;2;3;0,74
02/06/2021;0,32;1,35;4;26;20;75;75;25;3;3;3,35
01/06/2021;0,22;0,54;1;10;8;89;84;20;3;1;3,57
31/05/2021;0,55;0,89;7;37;26;66;69;21;3;0;1,98
30/05/2021;0,3;0,62;2;17;14;71;68;14;3;4;1,29
29/05/2021;0,23;0,4;1;11;9;62;61;19;2;2;0,82
28/05/2021;0,4;0,73;6;35;27;52;56;26;3;4;2,22
27/05/2021;0,29;0,7;8;32;21;58;57;23;3;2;2,24
26/05/2021;0,42;0,65;9;32;18;55;54;21;2;1;2,67
25/05/2021;;;1;10;8;74;77;15;3;4;
24/05/2021;0,39;0,75;1;13;11;74;70;15;4;8;4,55
23/05/2021;0,85;1,13;3;18;14;59;59;13;4;6;1,9
22/05/2021;0,4;1,13;1;13;11;60;58;9;4;4;2,31
21/05/2021;0,48;2,02;1;19;18;55;58;11;4;2;4,66
20/05/2021;0,26;1,17;10;38;23;51;51;14;4;2;1,41
19/05/2021;0,09;0,23;1;8;7;71;73;10;4;3;0,74
18/05/2021;0,16;0,32;7;30;20;;;14;4;2;0,86
17/05/2021;0,09;0,13;2;10;8;;;14;4;6;0,24
16/05/2021;0,15;0,27;1;13;12;;;11;4;6;0,49
15/05/2021;0,27;0,45;3;29;25;39;42;13;5;1;0,7
14/05/2021;0,09;0,17;2;14;12;72;77;8;4;3;0,26
13/05/2021;0,12;0,19;2;10;8;69;70;6;4;1;0,29
12/05/2021;0,11;0,15;1;10;8;84;83;10;4;11;0,24
11/05/2021;0,1;0,12;1;10;8;85;86;8;4;6;0,2
10/05/2021;0,14;0,29;1;9;7;74;71;8;5;5;0,35
09/05/2021;0,19;0,23;1;9;8;74;74;14;5;1;0,34
08/05/2021;0,18;0,36;1;12;11;64;63;16;4;0;0,56
07/05/2021;0,16;0,45;8;27;15;52;52;16;4;4;0,63
06/05/2021;0,14;0,59;10;28;14;51;49;12;5;1;0,98
05/05/2021;;;2;15;13;;;7;6;6;
04/05/2021;0,39;1,59;6;30;21;;;18;7;9;2,05
03/05/2021;0,3;0,67;12;41;24;;;14;7;1;1,23
02/05/2021;0,16;0,26;1;11;9;;;8;7;5;0,49
01/05/2021;0,13;0,14;1;6;5;;;8;7;4;0,23
30/04/2021;;;6;27;19;;;10;;3;
29/04/2021;;;2;20;17;;;8;;1;
