Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
13/02/2021;0,48;0,26;0,24;0,23;9;51;39;0,83;23;16;10;1,45
12/02/2021;0,29;0,21;0,22;0,18;2;25;22;0,69;11;6;5;1,13
11/02/2021;0,6;0,31;0,32;0,35;14;63;41;1,36;14;7;11;2,29
10/02/2021;0,38;0,23;0,19;0,11;2;28;25;0,41;9;4;9;0,76
09/02/2021;0,25;0,17;0,19;0,08;1;18;16;0,32;3;1;8;0,54
08/02/2021;0,39;0,25;0,24;0,13;8;37;25;0,5;7;3;8;0,98
07/02/2021;0,36;0,16;0,15;0,03;1;11;11;0,16;4;2;6;0,35
06/02/2021;0,37;0,2;0,21;0,08;0;14;13;0,31;10;7;7;0,59
05/02/2021;0,55;0,33;0,33;0,26;12;54;35;0,96;20;15;8;1,9
04/02/2021;0,37;0,25;0,25;0,28;5;45;37;1,05;10;6;8;1,74
03/02/2021;0,24;0,18;0,17;0,19;2;24;21;0,76;8;3;7;1,12
02/02/2021;0,21;0,17;0,2;0,28;2;20;17;1,08;4;2;6;1,47
01/02/2021;0,28;0,26;0,24;0,17;3;31;27;0,66;23;14;9;1,12
31/01/2021;0,27;0,18;0,16;0,09;3;20;16;0,42;10;6;6;0,7
30/01/2021;0,18;0,14;0,15;0,11;1;11;11;0,44;6;4;5;0,62
29/01/2021;0,41;0,3;0,31;0,55;22;68;34;2,09;16;11;10;3,16
28/01/2021;0,37;0,27;0,28;0,51;27;73;33;1,93;19;12;10;3,02
27/01/2021;0,39;0,37;0,38;0,5;28;86;43;1,98;13;9;9;3,2
26/01/2021;0,47;0,31;0,28;0,36;21;77;45;1,33;15;10;12;2,25
25/01/2021;0,38;0,3;0,3;0,16;12;51;33;0,54;13;9;10;1,11
24/01/2021;0,26;0,23;0,23;0,07;0;16;16;0,28;4;2;7;0,51
23/01/2021;0,29;0,19;0,19;0,08;1;19;18;0,32;5;3;7;0,54
22/01/2021;0,31;0,24;0,22;0,11;4;33;28;0,43;6;4;7;0,81
21/01/2021;0,21;0,2;0,2;0,08;1;13;12;0,35;4;1;5;0,48
20/01/2021;0,26;0,18;0,17;0,2;2;19;16;0,73;9;6;5;0,78
19/01/2021;0,35;0,16;0,19;0,28;6;38;30;0,99;8;5;8;1,19
18/01/2021;0,52;0,29;0,29;0,28;13;58;38;1,05;14;10;8;1,74
17/01/2021;0,52;0,32;0,34;0,21;19;73;43;0,79;12;9;10;1,34
16/01/2021;0,55;0,34;0,32;0,27;13;59;40;1,01;17;11;12;1,54
15/01/2021;0,37;0,28;0,28;0,18;6;42;34;0,68;13;6;7;1,27
14/01/2021;0,59;0,25;0,25;0,43;31;91;44;1,57;21;14;12;1,97
13/01/2021;0,69;0,36;0,35;0,66;42;118;54;2,44;27;16;15;2,86
12/01/2021;0,68;0,39;0,4;0,95;27;91;50;3,03;23;13;13;2,46
11/01/2021;0,43;0,27;0,24;0,08;8;39;27;0,34;13;7;9;0,71
10/01/2021;0,54;0,27;0,27;0,09;1;17;16;0,29;13;10;7;0,57
09/01/2021;0,84;0,33;0,34;0,18;7;41;30;0,67;18;16;7;1,37
08/01/2021;0,92;0,34;0,31;0,22;22;72;38;0,8;21;16;11;1,52
07/01/2021;0,89;0,35;0,37;0,28;25;66;28;1,21;17;12;12;2
06/01/2021;0,71;0,32;0,31;0,12;8;39;28;0,41;15;12;12;0,84
05/01/2021;0,64;0,3;0,29;0,17;12;58;40;0,56;11;9;10;1,05
04/01/2021;0,38;0,22;0,2;0,07;4;38;31;0,27;4;3;7;0,57
03/01/2021;0,37;0,22;0,22;0,03;1;26;24;0,16;3;2;7;0,35
02/01/2021;0,34;0,21;0,2;0,03;1;16;14;0,12;7;4;6;0,31
01/01/2021;0,22;0,17;0,17;0,02;0;11;10;0,13;3;1;6;0,44
